Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
File,012v.c_zero12v_decode_frame.c,88,,88,12,3,0,0,,,,65,17,12,0,5,,,,,,,1,
File,012v.c_zero12v_decode_init.c,9,,8,3,1,0,1,,,,4,4,3,0,1,,,,,,,0,
File,4xm.c_decode_i2_frame.c,41,,41,13,13,0,0,,,,32,28,18,0,19,,,,,,,4,
File,4xm.c_decode_i_block.c,45,,45,0,0,0,0,,,,26,0,0,0,0,,,,,,,0,
File,4xm.c_decode_i_frame.c,50,,50,16,8,0,0,,,,32,27,19,0,12,,,,,,,3,
File,4xm.c_decode_i_mb.c,11,,11,4,4,0,0,,,,7,8,4,0,6,,,,,,,2,
File,4xm.c_decode_init.c,33,,33,11,4,0,0,,,,20,17,11,0,6,,,,,,,1,
File,4xm.c_decode_p_block.c,75,,75,12,24,0,0,,,,41,42,15,0,27,,,,,,,2,
File,4xm.c_decode_p_frame.c,56,,56,17,11,0,0,,,,36,34,22,0,16,,,,,,,3,
File,4xm.c_idct.c,69,,68,6,34,0,1,,,,65,53,20,0,37,,,,,,,1,
File,4xm.c_idct_put.c,37,,37,9,6,0,0,,,,31,14,9,0,11,,,,,,,2,
File,4xm.c_init_mv.c,11,,11,2,1,0,0,,,,5,3,2,0,3,,,,,,,1,
File,4xm.c_init_vlcs.c,16,,16,3,2,0,0,,,,9,7,5,0,6,,,,,,,2,
File,4xm.c_mcdc.c,47,,46,5,16,0,1,,,,31,20,4,0,24,,,,,,,2,
File,4xm.c_mix.c,8,,8,4,4,0,0,,,,4,5,4,0,1,,,,,,,0,
File,4xm.c_read_huffman_tables.c,82,,82,17,35,0,0,,,,59,48,20,3,35,,,,,,,4,
File,8bps.c_decode_frame.c,70,,70,18,5,0,0,,,,45,30,23,0,7,,,,,,,2,
File,8bps.c_decode_init.c,35,,35,3,2,0,0,,,,22,5,3,0,2,,,,,,,1,
File,8svx.c_delta_decode.c,14,,14,0,0,0,0,,,,7,0,0,0,0,,,,,,,0,
File,8svx.c_eightsvx_decode_close.c,10,,10,2,1,0,0,,,,6,3,2,0,1,,,,,,,0,
File,8svx.c_eightsvx_decode_frame.c,54,,54,14,6,0,0,,,,31,25,14,0,11,,,,,,,3,
File,8svx.c_eightsvx_decode_init.c,18,,18,2,2,0,0,,,,11,4,2,0,2,,,,,,,1,
Function,AAC_RENAME,28,0,28,7,11,0,0,3,1,0,14,16,5,0,11,1,1,1,1,0,0,0,0
Function,AAC_RENAME,75,0,75,15,5,0,0,1,96,2,29,24,15,0,11,9,9,9,1,2,0,3,0
Function,AAC_RENAME,34,0,34,2,4,0,0,1,4,1,20,8,3,0,5,3,3,3,1,0,0,1,0
Function,AAC_RENAME,75,0,75,7,5,0,0,1,96,2,29,16,7,0,11,9,9,9,1,2,0,3,0
Function,AAC_RENAME,17,0,17,7,2,0,0,1,1,0,13,8,7,0,1,1,1,1,1,0,0,0,0
Function,AAC_RENAME,19,0,17,3,0,0,2,1,1,0,11,3,3,0,0,1,1,1,1,0,0,0,0
