Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
Static Function,"BadPPM",6,0,6,2,1,0,0,1,1,0,2,2,1,0,1,1,1,1,1,0,0,0,0
Function,"CheckAndCorrectColormap",14,0,14,4,0,0,0,0,1,0,10,3,3,0,0,1,1,1,1,0,0,0,0
Static Function,"CheckDirCount",12,0,12,3,3,0,0,1,2,0,3,5,2,0,3,2,2,2,1,1,0,1,0
Static Function,"CheckFloatTag",6,0,6,3,1,0,0,2,1,0,2,4,3,0,1,1,1,1,1,0,0,0,0
Function,"CheckLongField",16,0,16,3,4,0,0,1,3,0,6,7,2,0,5,3,3,3,3,2,2,1,2
Static Function,"CheckLongTag",6,0,6,2,0,0,0,1,1,0,2,1,1,0,0,1,1,1,1,0,0,0,0
Static Function,"CheckMalloc",8,1,8,3,2,0,0,2,1,0,3,4,3,0,2,1,1,1,1,0,0,0,0
Static Function,"CheckShort2Tag",19,0,19,3,7,0,0,1,5,1,8,11,2,1,8,5,5,5,5,8,8,2,8
Static Function,"CheckShortArrayTag",36,0,36,4,11,0,0,2,6,1,22,17,3,2,12,6,6,6,6,10,10,3,10
Function,"CheckShortField",16,0,16,3,4,0,0,1,3,0,6,7,2,0,5,3,3,3,3,2,2,1,2
Function,"CheckShortPairedField",16,0,16,3,4,0,0,1,3,0,6,7,2,0,5,3,3,3,3,2,2,1,2
Static Function,"CheckShortTag",6,0,6,2,0,0,0,1,1,0,2,1,1,0,0,1,1,1,1,0,0,0,0
Static Function,"CheckStringTag",6,0,6,3,1,0,0,3,1,0,2,4,3,0,1,1,1,1,1,0,0,0,0
Static Function,"ChopUpSingleUncompressedStrip",46,0,46,5,6,0,0,0,6,1,31,12,6,0,6,4,4,4,3,3,2,1,2
Static Function,"ContigCompare",83,3,83,13,3,0,0,2,2,0,50,16,13,0,3,2,2,2,1,1,0,1,0
Function,"CreateXImage",43,1,43,8,3,0,0,0,6,1,22,13,9,1,3,4,4,4,1,2,0,2,0
Function,"DECLAREContigCallbackFunc",5,0,5,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
Function,"DECLARESepCallbackFunc",5,0,5,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
Function,"DECLAREreadFunc",75,0,75,12,7,0,0,1,5,1,44,24,14,1,9,4,4,4,4,3,3,1,3
Function,"DECLAREwriteFunc",71,0,71,12,4,0,0,1,4,1,44,21,14,0,7,4,4,4,4,3,3,1,3
Function,"DIBNumColors",26,0,26,1,0,0,0,1,2,0,10,2,1,0,1,2,2,2,1,0,0,1,0
Static Function,"Error",8,0,8,2,0,0,0,0,1,0,4,1,1,0,0,1,1,1,1,0,0,0,0
Static Function,"EstimateStripByteCounts",40,0,40,6,2,0,0,0,2,0,25,6,5,0,1,2,2,2,1,1,0,1,0
Static Function,"Fatal",9,0,9,2,1,0,0,1,1,0,5,2,1,0,1,1,1,1,1,0,0,0,0
Static Function,"Fax3BadLength",10,0,10,3,0,0,0,0,1,0,1,2,2,0,0,1,1,1,1,0,0,0,0
Static Function,"Fax3Cleanup",17,0,17,6,0,0,0,0,1,0,10,5,5,0,0,1,1,1,1,0,0,0,0
Static Function,"Fax3Close",15,0,15,9,2,0,0,0,2,0,9,9,8,0,1,2,2,2,1,0,0,1,0
Static Function,"Fax3Decode1D",34,1,29,8,7,3,2,2,2,0,24,16,9,1,6,2,2,2,1,0,0,1,0
Static Function,"Fax3Decode2D",48,1,39,15,10,5,4,5,2,0,32,26,16,1,9,2,2,2,1,0,0,1,0
Static Function,"Fax3DecodeRLE",41,1,36,11,10,3,2,2,4,1,28,21,11,1,9,4,4,4,1,1,0,2,0
Static Function,"Fax3Encode",33,1,33,7,9,0,0,1,9,1,14,18,6,1,11,8,8,8,7,17,17,4,16
Static Function,"Fax3Encode1DRow",27,0,27,7,5,0,0,1,10,1,16,13,6,3,6,5,5,5,4,4,4,2,4
Static Function,"Fax3Encode2DRow",40,0,38,5,7,0,2,1,9,1,24,11,4,3,6,6,6,6,3,5,3,4,2
Static Function,"Fax3Extension",9,0,9,3,0,0,0,0,1,0,1,2,2,0,0,1,1,1,1,0,0,0,0
Static Function,"Fax3PostEncode",8,0,8,3,1,0,0,1,1,0,3,3,2,0,1,1,1,1,1,0,0,0,0
Static Function,"Fax3PreDecode",17,0,17,4,2,0,0,1,2,0,10,5,3,0,2,2,2,2,1,0,0,1,0
Static Function,"Fax3PreEncode",21,0,21,6,4,0,0,1,3,0,13,10,5,1,4,3,3,3,1,1,0,2,0
