Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
Static Function,"IDAT_end",11,1,11,6,1,0,0,0,1,0,7,7,7,0,0,1,1,1,1,0,0,0,0
Static Function,"IDAT_list_end",13,0,13,5,0,0,0,0,1,0,6,6,6,0,0,1,1,1,1,0,0,0,0
Static Function,"IDAT_list_extend",19,0,19,6,2,0,0,1,2,0,10,7,5,0,2,2,2,2,1,0,0,1,0
Static Function,"IDAT_list_init",7,0,7,2,0,0,0,0,1,0,3,2,2,0,0,1,1,1,1,0,0,0,0
Function,"PNG_FUNCTION",7,0,7,4,0,0,0,1,1,0,3,2,2,0,0,1,1,1,1,0,0,0,0
File,"PngFile.c_PngFileInitialize.c",25,,25,2,0,0,0,,,,21,3,3,0,0,,,,,,,0,
File,"PngFile.c_PngFileOpenDlg.c",9,,9,2,0,0,0,,,,5,2,2,0,0,,,,,,,0,
File,"PngFile.c_PngFileSaveDlg.c",9,,9,2,0,0,0,,,,5,2,2,0,0,,,,,,,0,
File,"PngFile.c_PngLoadImage.c",126,,114,13,1,7,8,,,,66,19,14,0,5,,,,,,,1,
File,"PngFile.c_PngSaveImage.c",61,,57,11,3,1,3,,,,36,14,12,0,2,,,,,,,1,
File,"PngFile.c_png_cexcept_error.c",11,,8,1,1,1,2,,,,3,3,1,1,1,,,,,,,1,
File,"PngFile.c_png_flush.c",8,,8,2,0,0,0,,,,3,2,2,0,0,,,,,,,0,
File,"PngFile.c_png_read_data.c",11,,11,2,1,0,0,,,,3,3,2,0,1,,,,,,,1,
File,"PngFile.c_png_write_data.c",10,,10,3,1,0,0,,,,3,4,3,0,1,,,,,,,1,
Function,"PngFileInitialize",25,0,25,2,0,0,0,0,1,0,21,2,2,0,0,1,1,1,1,0,0,0,0
Function,"PngFileOpenDlg",8,0,8,1,0,0,0,1,1,0,5,1,1,0,0,1,1,1,1,0,0,0,0
Function,"PngFileSaveDlg",8,0,8,1,0,0,0,1,1,0,5,1,1,0,0,1,1,1,1,0,0,0,0
Function,"PngLoadImage",126,0,114,12,0,7,8,1,32,2,66,18,13,0,5,6,6,6,1,0,0,1,0
Function,"PngSaveImage",60,0,56,10,2,1,3,1,4,1,36,13,11,0,2,3,3,3,1,0,0,1,0
File,"VisualPng.c_AboutDlgProc.c",23,,23,1,0,0,0,,,,8,1,1,0,0,,,,,,,0,
File,"VisualPng.c_BuildPngList.c",69,,69,0,0,0,0,,,,46,0,0,0,0,,,,,,,0,
File,"VisualPng.c_CenterAbout.c",38,,38,0,0,0,0,,,,21,0,0,0,0,,,,,,,0,
File,"VisualPng.c_DisplayImage.c",48,,48,0,0,0,0,,,,27,0,0,0,0,,,,,,,0,
File,"VisualPng.c_FillBitmap.c",122,,122,0,0,0,0,,,,78,0,0,0,0,,,,,,,0,
File,"VisualPng.c_InitBitmap.c",24,,24,0,0,0,0,,,,15,0,0,0,0,,,,,,,0,
File,"VisualPng.c_LoadImageFile.c",41,,41,0,0,0,0,,,,16,0,0,0,0,,,,,,,0,
File,"VisualPng.c_SearchPngList.c",55,,55,0,0,0,0,,,,15,0,0,0,0,,,,,,,0,
File,"VisualPng.c_WinMain.c",56,,56,1,0,0,0,,,,29,1,1,0,0,,,,,,,0,
File,"VisualPng.c_WndProc.c",160,,160,1,0,0,0,,,,87,1,1,0,0,,,,,,,0,
Static Function,"YfromRGBint",8,3,8,5,4,0,0,2,1,0,4,5,4,0,1,1,1,1,1,0,0,0,0
Static Function,"add_one_file",34,1,34,9,10,0,0,2,10,1,18,21,8,3,12,6,6,6,6,8,8,3,7
Static Function,"allocate",15,1,15,5,2,0,0,0,2,0,5,8,7,0,1,2,2,2,1,1,0,1,0
