Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
File,"CVE-2005-4048.c",76,,69,18,16,5,2,,,,54,36,20,0,20,,,,,,,3,
File,"CVE-2008-3162.c",94,,94,18,1,0,0,,,,56,20,19,0,1,,,,,,,1,
File,"CVE-2008-4868.c",16,,16,4,3,0,0,,,,10,7,4,0,3,,,,,,,1,
File,"CVE-2009-0385.c",116,,116,22,28,0,0,,,,82,62,23,2,39,,,,,,,4,
File,"CVE-2013-7008.c",568,,568,61,68,0,0,,,,273,184,66,3,121,,,,,,,5,
File,"CVE-2013-7009.c",123,,123,22,75,0,0,,,,90,101,26,4,83,,,,,,,5,
File,"CVE-2013-7011.c",186,,186,17,14,0,0,,,,125,46,26,0,20,,,,,,,3,
File,"CVE-2013-7012.c",120,,120,19,9,0,0,,,,72,32,20,0,14,,,,,,,2,
File,"CVE-2013-7013.c",31,,31,6,2,0,0,,,,18,9,6,0,3,,,,,,,1,
File,"CVE-2013-7014.c",11,,11,4,1,0,0,,,,9,5,4,0,3,,,,,,,1,
File,"CVE-2013-7015.c",178,,178,38,19,0,0,,,,100,83,43,0,44,,,,,,,5,
File,"CVE-2014-2097.c",198,,198,27,22,0,0,,,,117,75,30,0,51,,,,,,,6,
File,"CVE-2014-2099.c",51,,51,15,8,0,0,,,,32,28,17,0,11,,,,,,,2,
File,"CVE-2014-2263.c",147,,147,12,1,0,0,,,,101,15,14,0,1,,,,,,,0,
File,"CVE-2014-5271.c",66,,66,14,9,0,0,,,,37,24,18,1,6,,,,,,,1,
File,"CVE-2014-9316.c",182,,166,23,48,12,4,,,,113,90,35,4,51,,,,,,,3,
File,"CVE-2014-9318.c",163,,163,33,14,0,0,,,,92,64,38,0,26,,,,,,,3,
File,"CVE-2014-9319.c",356,,356,33,30,0,0,,,,212,94,37,1,58,,,,,,,3,
File,"CVE-2014-9603.c",162,,162,26,41,0,0,,,,93,72,30,0,48,,,,,,,5,
File,"CVE-2014-9604-1.c",43,,43,7,13,0,0,,,,37,22,11,0,21,,,,,,,3,
File,"CVE-2014-9604-2.c",61,,61,8,20,0,0,,,,55,29,12,0,33,,,,,,,3,
File,"CVE-2015-1872.c",311,,311,27,82,0,0,,,,176,142,35,11,100,,,,,,,4,
File,"CVE-2015-3395.c",83,,83,15,29,0,0,,,,47,46,15,0,35,,,,,,,5,
File,"CVE-2015-3417.c",53,,53,5,2,0,0,,,,45,7,5,0,2,,,,,,,1,
File,"CVE-2015-6761.c",40,,36,7,5,2,2,,,,22,14,8,1,5,,,,,,,2,
File,"CVE-2015-6818.c",30,,30,7,2,0,0,,,,17,9,6,0,3,,,,,,,1,
File,"CVE-2015-6819.c",336,,336,64,31,0,0,,,,200,113,70,2,67,,,,,,,4,
File,"CVE-2015-6820.c",69,,69,16,6,0,0,,,,26,23,15,0,10,,,,,,,3,
File,"CVE-2015-6821.c",89,,89,17,17,0,0,,,,54,44,18,1,29,,,,,,,3,
File,"CVE-2015-6822.c",11,,11,2,0,0,0,,,,6,2,2,0,0,,,,,,,0,
File,"CVE-2015-6823.c",20,,20,8,1,0,0,,,,11,11,9,1,1,,,,,,,0,
File,"CVE-2015-6825.c",83,,80,18,18,1,2,,,,56,43,21,1,24,,,,,,,3,
File,"CVE-2015-6826.c",17,,17,6,4,0,0,,,,9,12,6,0,6,,,,,,,2,
File,"CVE-2015-8216.c",128,,128,17,4,0,0,,,,83,37,35,0,2,,,,,,,0,
File,"CVE-2015-8364.c",57,,57,7,2,0,0,,,,40,10,8,0,4,,,,,,,1,
File,"CVE-2015-8365.c",172,,172,24,45,0,0,,,,113,85,29,8,54,,,,,,,4,
File,"CVE-2015-8661.c",93,,83,18,10,8,2,,,,53,33,20,1,12,,,,,,,2,
File,"CVE-2016-2213.c",138,,138,30,3,0,0,,,,109,40,37,0,5,,,,,,,1,
File,"CVE-2016-2329-1.c",381,,372,27,74,2,7,,,,205,163,36,21,108,,,,,,,3,
File,"CVE-2016-2329-2.c",161,,161,25,10,0,0,,,,102,56,35,0,25,,,,,,,3,
File,"CVE-2016-2330-1.c",123,,123,33,39,0,0,,,,77,76,36,0,49,,,,,,,4,
File,"CVE-2016-2330-2.c",23,,17,7,2,4,2,,,,12,9,7,0,2,,,,,,,1,
File,"CVE-2016-2330-3.c",9,,9,3,1,0,0,,,,6,4,3,0,1,,,,,,,0,
File,"CVE-2016-6164.c",237,,237,28,18,0,0,,,,137,48,34,0,14,,,,,,,3,
File,"CVE-2016-6671.c",178,,178,36,15,0,0,,,,98,67,40,0,27,,,,,,,3,
File,"CVE-2016-6881.c",25,,25,5,4,0,0,,,,15,12,7,0,5,,,,,,,2,
File,"CVE-2016-6920.c",118,,118,27,4,0,0,,,,80,35,30,0,5,,,,,,,2,
File,"CVE-2016-7122.c",42,,42,9,1,0,0,,,,21,9,9,0,0,,,,,,,0,
File,"CVE-2016-7450.c",11,,10,2,5,0,1,,,,5,7,3,0,4,,,,,,,1,
File,"CVE-2016-7502.c",58,,58,36,18,0,0,,,,56,38,36,0,6,,,,,,,1,
File,"CVE-2016-7555.c",483,,483,60,99,0,0,,,,284,189,68,9,114,,,,,,,6,
File,"CVE-2016-7562.c",10,,10,2,2,0,0,,,,7,5,3,0,6,,,,,,,2,
File,"CVE-2016-7785.c",88,,88,14,8,0,0,,,,49,27,15,0,12,,,,,,,2,
File,"CVE-2016-7905.c",55,,55,17,9,0,0,,,,36,34,20,0,14,,,,,,,2,
File,"CVE-2016-8595.c",41,,41,6,6,0,0,,,,22,11,4,0,7,,,,,,,1,
Function,"MPV_frame_start",110,0,110,13,8,0,0,1,8872,4,61,37,12,1,26,21,21,21,8,11,8,3,8
Static Function,"aac_decode_init",73,0,73,19,23,0,0,6,11,1,52,48,22,0,26,6,6,6,3,4,3,2,3
Static Function,"ac3_decode_frame",113,2,113,18,21,0,0,2,122,2,68,46,21,2,23,12,12,12,4,7,4,3,4
Static Function,"add_bytes_l2_c",11,1,11,4,1,0,0,0,2,0,9,4,3,0,3,2,2,2,1,0,0,1,0
Static Function,"add_doubles_metadata",23,2,23,13,4,0,0,4,1,0,15,14,10,0,4,1,1,1,1,0,0,0,0
Static Function,"adpcm_decode_frame",572,0,572,68,8,0,0,2,6,1,445,85,80,0,5,4,4,4,1,1,0,1,0
Static Function,"adpcm_decode_frame",628,2,628,66,14,0,0,2,3,0,442,82,75,0,7,3,3,3,3,2,2,1,2
Static Function,"advance_line",15,3,15,0,6,0,0,1,3,0,5,4,0,0,4,3,3,3,1,2,0,2,0
Static Function,"alac_decode_close",12,0,12,3,1,0,0,1,1,0,8,4,3,0,1,1,1,1,1,0,0,0,0
Static Function,"allocate_buffers",32,0,32,8,1,0,0,1,1,0,23,9,8,0,1,1,1,1,1,0,0,0,0
Static Function,"allocate_buffers",20,0,20,8,1,0,0,1,1,0,11,10,8,1,1,1,1,1,1,0,0,0,0
Static Function,"ape_decode_frame",125,0,125,21,9,0,0,3,975,3,82,43,21,0,22,15,15,15,6,7,7,3,7
Static Function,"ape_read_header",143,0,143,18,7,0,0,1,47,2,112,32,17,1,14,10,10,10,5,6,4,2,4
Static Function,"apng_encode_frame",95,0,95,15,4,0,0,1,8,1,68,22,14,1,7,4,4,4,3,2,2,1,2
Static Function,"asf_build_simple_index",51,0,51,14,3,0,0,1,24,1,31,24,16,1,9,6,6,6,3,2,2,2,2
Static Function,"asf_write_packet",34,0,34,8,3,0,0,1,3,0,25,11,7,0,4,3,3,3,3,2,2,2,2
Static Function,"asfrtp_parse_packet",78,1,78,26,9,0,0,1,8,1,49,34,25,3,8,7,7,7,6,5,5,2,5
Static Function,"atrac3_decode_init",124,0,124,17,13,0,0,2,7488,4,86,40,20,0,24,17,17,17,1,6,0,2,0
Function,"av_color_primaries_name",5,0,5,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
Function,"av_image_fill_pointers",35,2,35,6,13,0,0,2,3,0,26,21,9,0,14,3,3,4,1,1,0,1,0
Function,"av_probe_input_buffer",58,2,58,16,6,0,0,1,16,1,31,22,16,0,6,6,6,6,1,2,0,1,0
Function,"av_reallocp_array",8,3,8,4,3,0,0,2,1,0,4,5,3,0,2,1,1,1,1,0,0,0,0
Function,"av_rescale_rnd",40,1,40,6,3,0,0,2,4,1,31,12,8,0,6,4,4,6,1,1,0,3,0
Function,"avcodec_close",16,0,16,4,2,0,0,1,2,0,10,6,3,0,3,2,2,2,1,1,0,1,0
Function,"avcodec_default_get_buffer",76,0,69,17,15,5,2,2,45,2,54,34,18,0,20,11,11,12,5,7,7,3,6
Function,"avfilter_filter_samples",27,0,27,7,1,0,0,0,2,0,16,9,7,1,1,2,2,2,1,1,0,1,0
