Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
Function,"PNG_FUNCTION",7,0,7,3,0,0,0,1,1,0,2,1,1,0,0,1,1,1,1,0,0,0,0
File,"cve-2004-0597-1.c",76,,0,0,0,84,2,,,,37,0,0,0,0,,,,,,,0,
File,"cve-2004-0597-2.c",54,,0,0,0,60,2,,,,26,0,0,0,0,,,,,,,0,
File,"cve-2004-0597-3.c",47,,0,0,0,52,2,,,,25,0,0,0,0,,,,,,,0,
File,"cve-2004-0598.c",88,,0,0,0,111,4,,,,49,0,0,0,0,,,,,,,0,
File,"cve-2004-0599-1.c",117,,0,0,0,137,9,,,,78,0,0,0,0,,,,,,,0,
File,"cve-2004-0599-2.c",90,,0,0,0,151,31,,,,29,0,0,0,0,,,,,,,0,
File,"cve-2006-0481.c",127,,124,2,9,1,2,,,,69,11,2,0,9,,,,,,,3,
File,"cve-2006-3334.c",143,,134,13,6,3,6,,,,70,18,13,0,5,,,,,,,4,
File,"cve-2006-5793.c",40,,0,0,0,45,4,,,,22,0,0,0,0,,,,,,,0,
File,"cve-2006-7244.c",40,,0,0,0,49,4,,,,21,0,0,0,0,,,,,,,0,
File,"cve-2007-2445.c",82,,0,0,0,89,2,,,,39,0,0,0,0,,,,,,,0,
File,"cve-2007-5266.c",37,,0,0,0,41,4,,,,20,0,0,0,0,,,,,,,0,
File,"cve-2007-5627.c",37,,0,0,0,41,4,,,,20,0,0,0,0,,,,,,,0,
File,"cve-2007-5629-1.c",100,,0,0,0,126,2,,,,65,0,0,0,0,,,,,,,0,
File,"cve-2007-5629-2.c",111,,48,8,9,36,27,,,,51,21,8,1,12,,,,,,,1,
File,"cve-2007-5629-3.c",82,,73,13,7,8,3,,,,56,21,13,0,8,,,,,,,1,
File,"cve-2008-5907.c",99,,94,10,4,1,4,,,,47,17,10,0,7,,,,,,,1,
File,"cve-2008-6218.c",63,,49,10,5,9,5,,,,39,17,10,0,7,,,,,,,1,
File,"cve-2009-0040.c",90,,0,0,0,151,31,,,,29,0,0,0,0,,,,,,,0,
File,"cve-2009-5063.c",62,,0,0,0,80,2,,,,30,0,0,0,0,,,,,,,0,
File,"cve-2010-0205.c",144,,134,13,6,3,7,,,,70,18,13,0,5,,,,,,,4,
File,"cve-2011-0408-1.c",129,,129,4,4,0,0,,,,73,9,4,0,5,,,,,,,3,
File,"cve-2011-0408-2.c",219,,105,4,6,124,9,,,,126,11,4,0,7,,,,,,,3,
File,"cve-2011-2501.c",33,,0,0,0,34,3,,,,12,0,0,0,0,,,,,,,0,
File,"cve-2011-2692.c",67,,0,0,0,88,2,,,,33,0,0,0,0,,,,,,,0,
File,"cve-2011-2961.c",7,,7,3,0,0,0,,,,2,2,2,0,0,,,,,,,0,
File,"cve-2011-3045.c",61,,43,7,6,19,3,,,,30,18,8,1,9,,,,,,,4,
File,"cve-2011-3048.c",144,,117,11,14,26,8,,,,65,30,10,0,22,,,,,,,3,
File,"cve-2011-3328.c",104,,0,0,0,129,8,,,,41,0,0,0,0,,,,,,,0,
File,"cve-2011-3464.c",40,,39,6,2,0,1,,,,21,6,5,0,1,,,,,,,0,
File,"cve-2012-3425.c",134,,133,11,5,0,1,,,,79,21,11,0,10,,,,,,,2,
File,"cve-2013-6954.c",130,,1,0,0,151,1,,,,73,0,0,0,0,,,,,,,0,
File,"cve-2013-7353.c",51,,1,0,0,63,1,,,,25,0,0,0,0,,,,,,,0,
File,"cve-2013-7354-1.c",56,,0,0,0,75,2,,,,31,0,0,0,0,,,,,,,0,
File,"cve-2013-7354-2.c",144,,117,11,14,26,8,,,,65,30,10,0,22,,,,,,,3,
File,"cve-2014-0333.c",295,,92,16,12,201,38,,,,97,36,16,0,20,,,,,,,3,
File,"cve-2014-9495.c",175,,0,0,0,232,24,,,,61,0,0,0,0,,,,,,,0,
File,"cve-2015-0973.c",81,,1,0,0,127,1,,,,39,0,0,0,0,,,,,,,0,
File,"cve-2015-7981.c",33,,0,0,0,36,5,,,,8,0,0,0,0,,,,,,,0,
