Kind,Name,AltCountLineCode,CountInput,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots
File,cve-2004-0803_1.c,62,,62,11,32,0,0,,,,45,48,14,8,30,,,,,,,4,
File,cve-2004-0803_2.c,58,,58,7,6,0,0,,,,36,14,8,0,6,,,,,,,1,
File,cve-2004-0803_3.c,48,,48,8,12,0,0,,,,33,24,11,3,12,,,,,,,3,
File,cve-2004-0929.c,316,,306,26,4,11,5,,,,196,33,29,2,2,,,,,,,1,
File,cve-2004-1307.c,43,,43,10,8,0,0,,,,23,22,10,1,11,,,,,,,2,
File,cve-2006-0405.c,22,,22,4,0,0,0,,,,5,4,4,0,0,,,,,,,0,
File,cve-2006-2024.c,74,,74,13,1,0,0,,,,47,14,13,0,1,,,,,,,0,
File,cve-2006-2025.c,41,,41,12,6,0,0,,,,17,24,14,1,9,,,,,,,2,
File,cve-2006-2193.c,45,,45,6,3,0,0,,,,29,7,6,0,1,,,,,,,0,
File,cve-2006-3459.c,22,,22,4,0,0,0,,,,5,4,4,0,0,,,,,,,0,
File,cve-2008-2327.c,152,,152,16,24,0,0,,,,98,54,19,1,34,,,,,,,4,
File,cve-2009-2285.c,133,,133,13,33,0,0,,,,86,51,16,0,35,,,,,,,4,
File,cve-2009-2347-1.c,51,,51,15,4,0,0,,,,40,21,17,0,4,,,,,,,1,
File,cve-2009-2347.c,51,,51,15,4,0,0,,,,40,21,17,0,4,,,,,,,1,
File,cve-2009-5022.c,54,,54,5,5,0,0,,,,39,9,5,0,4,,,,,,,1,
File,cve-2010-1411.c,55,,55,11,8,0,0,,,,29,22,11,1,10,,,,,,,2,
File,cve-2010-2067.c,13,,13,6,3,0,0,,,,5,8,6,0,2,,,,,,,1,
File,cve-2010-2483.c,14,,14,2,3,0,0,,,,5,7,3,0,4,,,,,,,1,
File,cve-2010-2596.c,14,,14,3,2,0,0,,,,7,5,3,0,2,,,,,,,1,
File,cve-2010-2597.c,33,,33,7,4,0,0,,,,14,14,10,1,3,,,,,,,2,
File,cve-2011-1167.c,60,,60,8,7,0,0,,,,36,16,9,0,7,,,,,,,1,
File,cve-2012-1173_1.c,104,,104,18,12,0,0,,,,62,31,20,0,11,,,,,,,1,
File,cve-2012-1173_2.c,95,,95,16,11,0,0,,,,56,32,22,0,10,,,,,,,1,
File,cve-2012-2088.c,459,,458,44,43,0,1,,,,168,133,48,8,80,,,,,,,4,
